
--- RK4 Steps (RK4 Problem 1), h=0.1 ---
Step	X	Y-values
0	0.100000	1.123049
1	0.200000	1.308496
2	0.300000	1.595754
3	0.400000	2.064900
4	0.500000	2.907820
5	0.600000	4.727897
6	0.700000	10.853932

--- RK4 Steps (RK4 Problem 1), h=0.25 ---
Step	X	Y-values
0	0.250000	1.435558
1	0.500000	2.897227
2	0.750000	17.885430

--- RK4 Steps (RK4 Problem 1), h=0.45 ---
Step	X	Y-values
0	0.450000	2.389060
1	0.900000	109.960226

--- RK4 Steps (RK4 Damped SHO), h=0.05 ---
Step	X	Y-values
220	11.050000	-0.022655	0.437709
221	11.100000	-0.000832	0.435022
222	11.150000	0.020829	0.431272
223	11.200000	0.042277	0.426476
224	11.250000	0.063460	0.420654
225	11.300000	0.084326	0.413828
226	11.350000	0.104827	0.406023
227	11.400000	0.124913	0.397265
228	11.450000	0.144538	0.387583
229	11.500000	0.163656	0.377008
230	11.550000	0.182224	0.365573
231	11.600000	0.200200	0.353314
232	11.650000	0.217542	0.340266
233	11.700000	0.234214	0.326469
234	11.750000	0.250177	0.311961
235	11.800000	0.265399	0.296786
236	11.850000	0.279845	0.280984
237	11.900000	0.293487	0.264601
238	11.950000	0.306297	0.247682
239	12.000000	0.318247	0.230272
240	12.050000	0.329316	0.212419
241	12.100000	0.339483	0.194170
242	12.150000	0.348728	0.175574
243	12.200000	0.357035	0.156680
244	12.250000	0.364391	0.137537
245	12.300000	0.370785	0.118194
246	12.350000	0.376208	0.098702
247	12.400000	0.380654	0.079109
248	12.450000	0.384118	0.059466
249	12.500000	0.386601	0.039822
250	12.550000	0.388101	0.020225
251	12.600000	0.388625	0.000724
252	12.650000	0.388176	-0.018632
253	12.700000	0.386765	-0.037798
254	12.750000	0.384400	-0.056727
255	12.800000	0.381097	-0.075372
256	12.850000	0.376869	-0.093691
257	12.900000	0.371734	-0.111640
258	12.950000	0.365712	-0.129176
259	13.000000	0.358824	-0.146260
260	13.050000	0.351094	-0.162852
261	13.100000	0.342547	-0.178914
262	13.150000	0.333212	-0.194411
263	13.200000	0.323116	-0.209308
264	13.250000	0.312292	-0.223572
265	13.300000	0.300770	-0.237174
266	13.350000	0.288586	-0.250082
267	13.400000	0.275774	-0.262272
268	13.450000	0.262371	-0.273718
269	13.500000	0.248415	-0.284396
270	13.550000	0.233944	-0.294287
271	13.600000	0.219000	-0.303370
272	13.650000	0.203621	-0.311631
273	13.700000	0.187850	-0.319054
274	13.750000	0.171730	-0.325626
275	13.800000	0.155302	-0.331339
276	13.850000	0.138610	-0.336184
277	13.900000	0.121698	-0.340156
278	13.950000	0.104609	-0.343251
279	14.000000	0.087388	-0.345468
280	14.050000	0.070077	-0.346809
281	14.100000	0.052721	-0.347275
282	14.150000	0.035364	-0.346874
283	14.200000	0.018048	-0.345611
284	14.250000	0.000817	-0.343498
285	14.300000	-0.016287	-0.340545
286	14.350000	-0.033224	-0.336766
287	14.400000	-0.049950	-0.332177
288	14.450000	-0.066428	-0.326794
289	14.500000	-0.082617	-0.320639
290	14.550000	-0.098479	-0.313730
291	14.600000	-0.113978	-0.306093
292	14.650000	-0.129077	-0.297750
293	14.700000	-0.143741	-0.288728
294	14.750000	-0.157939	-0.279054
295	14.800000	-0.171637	-0.268758
296	14.850000	-0.184805	-0.257869
297	14.900000	-0.197414	-0.246420
298	14.950000	-0.209438	-0.234443
299	15.000000	-0.220850	-0.221971
300	15.050000	-0.231627	-0.209040
301	15.100000	-0.241747	-0.195685
302	15.150000	-0.251189	-0.181942
303	15.200000	-0.259935	-0.167849
304	15.250000	-0.267969	-0.153444
305	15.300000	-0.275275	-0.138763
306	15.350000	-0.281841	-0.123847
307	15.400000	-0.287657	-0.108735
308	15.450000	-0.292712	-0.093464
309	15.500000	-0.297001	-0.078074
310	15.550000	-0.300518	-0.062606
311	15.600000	-0.303261	-0.047097
312	15.650000	-0.305228	-0.031586
313	15.700000	-0.306420	-0.016113
314	15.750000	-0.306841	-0.000715
315	15.800000	-0.306494	0.014569
316	15.850000	-0.305386	0.029703
317	15.900000	-0.303526	0.044650
318	15.950000	-0.300925	0.059375
319	16.000000	-0.297593	0.073841
320	16.050000	-0.293546	0.088015
321	16.100000	-0.288797	0.101864
322	16.150000	-0.283365	0.115356
323	16.200000	-0.277268	0.128460
324	16.250000	-0.270526	0.141146
325	16.300000	-0.263161	0.153386
326	16.350000	-0.255195	0.165153
