Table 1: RK4 and RKF45 Approximation Results
Iter    Time      RK4            RKF45          Analytical     
218     10.85     4.511024       4.481753       4.511027       
219     10.90     4.617085       4.630586       4.617086       
220     10.95     4.677307       4.690750       4.677304       
221     11.00     4.691006       4.690750       4.691001       
222     11.05     4.657965       4.660131       4.657958       
223     11.10     4.578435       4.536889       4.578425       
224     11.15     4.453132       4.536889       4.453120       
225     11.20     4.283231       4.319352       4.283216       
226     11.25     4.070357       4.005796       4.070340       
227     11.30     3.816567       4.005796       3.816548       
228     11.35     3.524331       3.593997       3.524311       
229     11.40     3.196508       3.080265       3.196486       
230     11.45     2.836319       3.080265       2.836295       
231     11.50     2.447311       2.457079       2.447286       
232     11.55     2.033327       1.752330       2.033302       
233     11.60     1.598467       1.752330       1.598441       
234     11.65     1.147043       1.016888       1.147017       
235     11.70     0.683541       1.016888       0.683515       
236     11.75     0.212575       0.258225       0.212549       
237     11.80     -0.261162      -0.505615      -0.261188      
238     11.85     -0.732941      -0.505615      -0.732966      
239     11.90     -1.198046      -1.259288      -1.198070      
240     11.95     -1.651821      -1.974054      -1.651844      
241     12.00     -2.089719      -1.974054      -2.089741      
242     12.05     -2.507344      -2.603470      -2.507364      
243     12.10     -2.900498      -3.159502      -2.900516      
244     12.15     -3.265222      -3.159502      -3.265238      
245     12.20     -3.597835      -3.638953      -3.597849      
246     12.25     -3.894976      -4.039454      -3.894988      
247     12.30     -4.153632      -4.039454      -4.153641      
248     12.35     -4.371171      -4.357937      -4.371178      
249     12.40     -4.545372      -4.591466      -4.545376      
250     12.45     -4.674442      -4.591466      -4.674443      
251     12.50     -4.757039      -4.737324      -4.757037      
252     12.55     -4.792284      -4.793097      -4.792279      
253     12.60     -4.779770      -4.756686      -4.779763      
254     12.65     -4.719569      -4.756686      -4.719559      
255     12.70     -4.612227      -4.626263      -4.612215      
256     12.75     -4.458767      -4.400155      -4.458752      
257     12.80     -4.260669      -4.400155      -4.260653      
258     12.85     -4.019866      -4.076615      -4.019847      
259     12.90     -3.738716      -3.653340      -3.738695      
260     12.95     -3.419987      -3.653340      -3.419964      
261     13.00     -3.066822      -3.126455      -3.066797      
262     13.05     -2.682714      -2.487965      -2.682688      
263     13.10     -2.271468      -2.487965      -2.271442      
264     13.15     -1.837166      -1.772516      -1.837139      
265     13.20     -1.384123      -1.025399      -1.384095      
266     13.25     -0.916845      -1.025399      -0.916817      
267     13.30     -0.439986      -0.255619      -0.439958      
268     13.35     0.041699       -0.255619      0.041727       
269     13.40     0.523405       0.519014       0.523432       
270     13.45     1.000319       1.282945       1.000345       
271     13.50     1.467674       1.282945       1.467699       
272     13.55     1.920793       2.004967       1.920817       
273     13.60     2.355139       2.641683       2.355161       
274     13.65     2.766356       2.641683       2.766376       
275     13.70     3.150317       3.204294       3.150335       
276     13.75     3.503164       3.689607       3.503179       
277     13.80     3.821346       3.689607       3.821359       
278     13.85     4.101658       4.095198       4.101668       
279     13.90     4.341267       4.417976       4.341275       
280     13.95     4.537749       4.417976       4.537754       
281     14.00     4.689106       4.654992       4.689109       
282     14.05     4.793792       4.803516       4.793791       
283     14.10     4.850723       4.861128       4.850720       
284     14.15     4.859296       4.861128       4.859290       
285     14.20     4.819388       4.825722       4.819379       
286     14.25     4.731361       4.695464       4.731349       
287     14.30     4.596060       4.695464       4.596045       
288     14.35     4.414800       4.468680       4.414783       
289     14.40     4.189360       4.143614       4.189341       
290     14.45     3.921960       3.717962       3.921939       
291     14.50     3.615241       3.717962       3.615218       
292     14.55     3.272240       3.187846       3.272215       
293     14.60     2.896357       3.187846       2.896331       
294     14.65     2.491325       2.545290       2.491298       
295     14.70     2.061171       1.824348       2.061142       
296     14.75     1.610173       1.824348       1.610143       
297     14.80     1.142822       1.071142       1.142793       
298     14.85     0.663777       0.294577       0.663747       
299     14.90     0.177814       0.294577       0.177785       
300     14.95     -0.310217      -0.487404      -0.310246      
301     15.00     -0.795443      -0.487404      -0.795471      
302     15.05     -1.273017      -1.259185      -1.273044      
303     15.10     -1.738163      -1.990918      -1.738188      
304     15.15     -2.186228      -1.990918      -2.186252      
305     15.20     -2.612727      -2.636301      -2.612749      
306     15.25     -3.013388      -3.207242      -3.013408      
307     15.30     -3.384195      -3.207242      -3.384213      
308     15.35     -3.721427      -3.700501      -3.721442      
309     15.40     -4.021697      -4.113676      -4.021710      
310     15.45     -4.281986      -4.113676      -4.281996      
311     15.50     -4.499673      -4.443663      -4.499680      
312     15.55     -4.672561      -4.687492      -4.672564      
313     15.60     -4.798898      -4.842411      -4.798899      
314     15.65     -4.877400      -4.842411      -4.877398      
315     15.70     -4.907258      -4.905979      -4.907253      
316     15.75     -4.888148      -4.876069      -4.888140      
317     15.80     -4.820238      -4.750835      -4.820227      
318     15.85     -4.704180      -4.750835      -4.704166      
319     15.90     -4.541112      -4.528591      -4.541095      
320     15.95     -4.332639      -4.207595      -4.332620      
321     16.00     -4.080821      -4.207595      -4.080800      
322     16.05     -3.788154      -3.785583      -3.788130      
323     16.10     -3.457541      -3.258798      -3.457516      
324     16.15     -3.092269      -3.258798      -3.092242      
325     16.20     -2.695968      -2.619595      -2.695940      
326     16.25     -2.272584      -2.619595      -2.272555      
327     16.30     -1.826334      -1.896678      -1.826304      
328     16.35     -1.361664      -1.141145      -1.361634      
329     16.40     -0.883209      -1.141145      -0.883178      
330     16.45     -0.395740      -0.360743      -0.395710      
331     16.50     0.095876       0.426214       0.095906       
332     16.55     0.586732       0.426214       0.586761       
333     16.60     1.071924       1.204143       1.071952       
334     16.65     1.546603       1.204143       1.546630       
335     16.70     2.006025       1.947153       2.006050       
336     16.75     2.445595       2.602016       2.445618       
337     16.80     2.860914       2.602016       2.860935       
338     16.85     3.247825       3.182344       3.247844       
339     16.90     3.602452       3.684825       3.602469       
340     16.95     3.921243       4.107129       3.921256       
341     17.00     4.200998       4.107129       4.201009       
342     17.05     4.438910       4.446142       4.438918       
343     17.10     4.632587       4.698876       4.632592       
344     17.15     4.780080       4.698876       4.780082       
345     17.20     4.879899       4.862549       4.879898       
346     17.25     4.931030       4.934689       4.931026       
347     17.30     4.932946       4.913143       4.932939       
348     17.35     4.885612       4.913143       4.885601       
349     17.40     4.789483       4.796038       4.789470       
350     17.45     4.645505       4.581683       4.645489       
351     17.50     4.455099       4.581683       4.455080       
352     17.55     4.220153       4.268349       4.220132       
353     17.60     3.942999       3.853841       3.942976       
354     17.65     3.626393       3.853841       3.626368       
355     17.70     3.273485       3.334586       3.273458       
356     17.75     2.887788       2.703431       2.887760       
357     17.80     2.473146       2.703431       2.473117       
358     17.85     2.033692       1.980974       2.033662       
359     17.90     1.573808       1.225668       1.573776       
360     17.95     1.098081       1.225668       1.098049       
361     18.00     0.611259       0.443494       0.611227       
362     18.05     0.118201       0.443494       0.118170       
363     18.10     -0.376169      -0.346734      -0.376199      
364     18.15     -0.866914      -1.129515      -0.866943      
365     18.20     -1.349130      -1.129515      -1.349158      
366     18.25     -1.817999      -1.884727      -1.818026      
367     18.30     -2.268835      -2.549429      -2.268860      
368     18.35     -2.697128      -2.549429      -2.697151      
369     18.40     -3.098595      -3.139635      -3.098616      
370     18.45     -3.469220      -3.651960      -3.469238      
371     18.50     -3.805292      -3.651960      -3.805307      
372     18.55     -4.103445      -4.084188      -4.103458      
373     18.60     -4.360693      -4.433197      -4.360703      
374     18.65     -4.574456      -4.433197      -4.574463      
375     18.70     -4.742589      -4.695982      -4.742592      
376     18.75     -4.863400      -4.869731      -4.863400      
377     18.80     -4.935673      -4.951933      -4.935670      
378     18.85     -4.958674      -4.951933      -4.958668      
379     18.90     -4.932163      -4.940403      -4.932154      
380     18.95     -4.856393      -4.833240      -4.856380      
381     19.00     -4.732109      -4.628742      -4.732094      
382     19.05     -4.560544      -4.628742      -4.560527      
383     19.10     -4.343401      -4.325195      -4.343381      
384     19.15     -4.082839      -3.920482      -4.082816      
385     19.20     -3.781451      -3.920482      -3.781426      
386     19.25     -3.442240      -3.411236      -3.442213      
387     19.30     -3.068586      -2.790849      -3.068558      
388     19.35     -2.664215      -2.790849      -2.664186      
389     19.40     -2.233160      -2.070521      -2.233130      
390     19.45     -1.779722      -2.070521      -1.779691      
391     19.50     -1.308426      -1.317145      -1.308394      
